"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2008","2,595.69","2,501.55","2,596.86","2,451.61","1.37B","1.97%"
"04/21/2008","2,545.52","2,707.60","2,707.60","2,506.24","1.77B","1.36%"
"04/18/2008","2,511.36","2,565.79","2,593.56","2,482.92","1.23B","-2.99%"
"04/17/2008","2,588.76","2,650.12","2,705.51","2,554.26","1.20B","-2.49%"
"04/16/2008","2,654.90","2,711.25","2,717.87","2,644.44","1.09B","-2.24%"
"04/15/2008","2,715.74","2,672.37","2,716.94","2,591.68","1.22B","1.14%"
"04/14/2008","2,685.01","2,805.21","2,815.33","2,675.90","1.47B","-6.30%"
"04/11/2008","2,865.45","2,882.38","2,900.54","2,843.05","1.04B","0.88%"
"04/10/2008","2,840.55","2,780.60","2,846.24","2,751.58","1.10B","1.33%"
"04/09/2008","2,803.15","2,938.49","2,966.89","2,802.35","1.62B","-5.61%"
"04/08/2008","2,969.61","2,956.51","3,011.42","2,927.37","1.97B","0.52%"
"04/07/2008","2,954.23","2,803.88","2,962.14","2,778.41","1.90B","4.44%"
"04/03/2008","2,828.63","2,719.90","2,833.80","2,679.29","1.58B","3.06%"
"04/02/2008","2,744.65","2,757.53","2,842.65","2,698.26","2.39B","1.15%"
"04/01/2008","2,713.49","2,812.51","2,847.56","2,683.50","1.65B","-3.91%"
"03/31/2008","2,823.97","2,815.31","2,891.17","2,804.43","1.39B","-2.97%"
"03/28/2008","2,910.51","2,736.59","2,922.07","2,714.38","2.19B","5.44%"
"03/27/2008","2,760.45","2,837.09","2,861.22","2,757.39","1.50B","-4.70%"
"03/26/2008","2,896.69","2,904.34","2,965.26","2,877.13","1.23B","0.42%"
"03/25/2008","2,884.62","2,810.50","2,912.13","2,781.82","1.43B","0.53%"
"03/24/2008","2,869.28","3,056.43","3,063.89","2,867.91","1.47B","-5.04%"
"03/21/2008","3,021.58","3,010.26","3,058.70","2,975.70","1.69B","0.33%"
"03/20/2008","3,011.78","2,904.84","3,050.09","2,765.25","1.90B","2.26%"
"03/19/2008","2,945.23","2,925.26","2,992.71","2,876.96","1.59B","2.64%"
"03/18/2008","2,869.61","2,961.06","3,021.42","2,821.11","1.59B","-3.84%"
"03/17/2008","2,984.06","3,065.43","3,075.74","2,978.65","1.23B","-3.25%"
"03/14/2008","3,084.45","3,098.26","3,119.39","3,028.33","1.14B","-0.88%"
"03/13/2008","3,111.84","3,133.62","3,163.65","3,047.90","1.65B","-1.67%"
"03/12/2008","3,164.78","3,343.41","3,355.98","3,162.67","1.15B","-3.06%"
"03/11/2008","3,264.57","3,233.45","3,267.13","3,187.83","1.05B","0.25%"
"03/10/2008","3,256.44","3,366.97","3,366.97","3,238.70","1.44B","-4.10%"
"03/07/2008","3,395.61","3,399.51","3,444.28","3,370.47","1.01B","-1.46%"
"03/06/2008","3,445.75","3,398.42","3,504.83","3,349.17","1.64B","1.93%"
"03/05/2008","3,380.65","3,415.73","3,446.03","3,317.34","1.47B","-1.29%"
"03/04/2008","3,424.79","3,559.05","3,566.16","3,416.40","1.81B","-3.24%"
"03/03/2008","3,539.43","3,449.75","3,556.82","3,410.41","1.42B","1.98%"
"02/29/2008","3,470.60","3,431.39","3,490.93","3,418.93","881.30M","1.02%"
"02/28/2008","3,435.45","3,467.03","3,473.64","3,409.95","940.50M","-0.70%"
"02/27/2008","3,459.78","3,384.55","3,484.74","3,348.82","1.45B","2.86%"
"02/26/2008","3,363.70","3,430.37","3,445.83","3,275.84","1.69B","0.95%"
"02/25/2008","3,331.99","3,460.86","3,472.09","3,324.17","1.73B","-3.87%"
